Left	Right	k	Cumulative	Norm	RAS	StdErr
<HGDP00880>	Sardinian2	5	False	58348346	1.7140880546059698e-2	1.0545517803037968e-4
<HGDP00880>	Sardinian2	6	False	58348346	1.9740213834391902e-2	2.3140049401329798e-4
<HGDP00880>	Sardinian2	7	False	58348346	9.250017162835734e-3	6.714661811584879e-5
<HGDP00880>	Sardinian2	8	False	58348346	1.1650252954635894e-2	2.0134058507171037e-4
<HGDP00880>	Sardinian2	9	False	58348346	5.956410849312614e-3	5.7928578679858973e-5
<HGDP00880>	Sardinian2	10	False	58348346	7.947873930769574e-3	1.208032314848885e-4
<HGDP00880>	Tuscan2	2	False	58348346	0.14198186954605352	7.282168824598375e-4
<HGDP00880>	Tuscan2	3	False	58348346	4.0681157440178334e-2	1.532517565671946e-4
<HGDP00880>	Tuscan2	4	False	58348346	4.4624100541484635e-2	4.381762228166297e-4
<HGDP00880>	Tuscan2	5	False	58348346	1.714228469018356e-2	1.0546684163829864e-4
<HGDP00880>	Tuscan2	6	False	58348346	1.97493637323213e-2	2.3144733665189407e-4
<HGDP00880>	Tuscan2	7	False	58348346	9.249741629351414e-3	6.712339321148209e-5
<HGDP00880>	Tuscan2	8	False	58348346	1.1656991385268507e-2	2.0159522131892724e-4
<HGDP00880>	Tuscan2	9	False	58348346	5.957007618804934e-3	5.7903953086380926e-5
<HGDP00880>	Tuscan2	10	False	58348346	7.955606830740328e-3	1.2122803258807786e-4
<HGDP00665>	Basque2	2	False	56654834	0.14211465021090317	7.41691896541452e-4
<HGDP00665>	Basque2	3	False	56654834	4.0794717366503384e-2	1.5632680242319482e-4
<HGDP00665>	Basque2	4	False	56654834	4.380534413003414e-2	4.34607769794477e-4
<HGDP00665>	Basque2	5	False	56654834	1.6946609449744285e-2	1.0594338388203038e-4
<HGDP00665>	Basque2	6	False	56654834	1.8969296096226662e-2	2.2318850895775873e-4
<HGDP00665>	Basque2	7	False	56654834	9.053248407969687e-3	6.611011187794627e-5
<HGDP00665>	Basque2	8	False	56654834	1.1042935306573614e-2	1.965876543613581e-4
<HGDP00665>	Basque2	9	False	56654834	5.797226075225675e-3	5.69100137690976e-5
<HGDP00665>	Basque2	10	False	56654834	7.419537101761589e-3	1.1248938601865381e-4
<HGDP00665>	BergamoItalian2	2	False	56654834	0.14226551877285487	7.439677376585606e-4
<HGDP00665>	BergamoItalian2	3	False	56654834	4.081107580334619e-2	1.5661112208783867e-4
<HGDP00665>	BergamoItalian2	4	False	56654834	4.389321262506916e-2	4.370523331248296e-4
<HGDP00665>	BergamoItalian2	5	False	56654834	1.6966895534456967e-2	1.0643315169005028e-4
<HGDP00665>	BergamoItalian2	6	False	56654834	1.901221615087606e-2	2.2476741998432245e-4
<HGDP00665>	BergamoItalian2	7	False	56654834	9.065963815197121e-3	6.651669012432728e-5
