Left	Right	k	Cumulative	Norm	RAS	StdErr
<HG00384>	FIN2	7	False	77818002	9.088318882953464e-3	3.492633377795862e-5
<HG00384>	FIN2	8	False	77818002	7.654955239855034e-3	3.336558434316604e-5
<HG00384>	FIN2	9	False	77818002	6.574201848273107e-3	2.962712757682692e-5
<HG00384>	FIN2	10	False	77818002	5.667436137733667e-3	2.817666745212516e-5
<HG00384>	GBR2	2	False	77818002	4.624807000948698e-2	8.302285982734662e-5
<HG00384>	GBR2	3	False	77818002	2.6280904265238797e-2	6.313290633625703e-5
<HG00384>	GBR2	4	False	77818002	1.834970072545426e-2	5.171599793563389e-5
<HG00384>	GBR2	5	False	77818002	1.4043163701520277e-2	4.828695293775596e-5
<HG00384>	GBR2	6	False	77818002	1.1172637047849515e-2	4.02668926873233e-5
<HG00384>	GBR2	7	False	77818002	9.090747776480853e-3	3.4932084663409194e-5
<HG00384>	GBR2	8	False	77818002	7.656898527718792e-3	3.336191409871579e-5
<HG00384>	GBR2	9	False	77818002	6.576121917642194e-3	2.964764018298154e-5
<HG00384>	GBR2	10	False	77818002	5.668924045320879e-3	2.8196763336096737e-5
<HG00384>	IBS2	2	False	77818002	4.624328647661548e-2	8.300916562830548e-5
<HG00384>	IBS2	3	False	77818002	2.6277755480941817e-2	6.312688920354e-5
<HG00384>	IBS2	4	False	77818002	1.834696347608863e-2	5.170276356532898e-5
<HG00384>	IBS2	5	False	77818002	1.4040888055207387e-2	4.828684423714165e-5
<HG00384>	IBS2	6	False	77818002	1.1170689900874326e-2	4.0251548910236856e-5
<HG00384>	IBS2	7	False	77818002	9.088927227183973e-3	3.491415262865052e-5
<HG00384>	IBS2	8	False	77818002	7.655018503791638e-3	3.3339772877008656e-5
<HG00384>	IBS2	9	False	77818002	6.574546300261695e-3	2.9634894916295336e-5
<HG00384>	IBS2	10	False	77818002	5.667262416930707e-3	2.8173453832234054e-5
<HG00384>	TSI2	2	False	77818002	4.62365416790985e-2	8.299460710227995e-5
<HG00384>	TSI2	3	False	77818002	2.6277165428955272e-2	6.312190686204021e-5
<HG00384>	TSI2	4	False	77818002	1.834794742640414e-2	5.170862869547962e-5
<HG00384>	TSI2	5	False	77818002	1.4042640465242522e-2	4.8299074689502914e-5
<HG00384>	TSI2	6	False	77818002	1.1172254724249911e-2	4.026471629153612e-5
<HG00384>	TSI2	7	False	77818002	9.0905817898635e-3	3.492724649822945e-5
<HG00384>	TSI2	8	False	77818002	7.656763937842705e-3	3.33548455059188e-5
<HG00384>	TSI2	9	False	77818002	6.576063637991297e-3	2.9640682781713073e-5
<HG00384>	TSI2	10	False	77818002	5.668815919630381e-3	2.817995010205915e-5
<HG00384>	CHB2	2	False	77818002	4.620943084202004e-2	8.297562950574245e-5
<HG00384>	CHB2	3	False	77818002	2.625418715599853e-2	6.310638468417419e-5
<HG00384>	CHB2	4	False	77818002	1.8328448506995252e-2	5.16869631101099e-5
<HG00384>	CHB2	5	False	77818002	1.4026590435645674e-2	4.825676039723133e-5
<HG00384>	CHB2	6	False	77818002	1.1158849577156576e-2	4.020782545417395e-5
<HG00384>	CHB2	7	False	77818002	9.079280241862313e-3	3.488740975142901e-5
<HG00384>	CHB2	8	False	77818002	7.646947594058216e-3	3.326901601871692e-5
<HG00384>	CHB2	9	False	77818002	6.568157533003786e-3	2.9573595704593445e-5
<HG00384>	CHB2	10	False	77818002	5.66220850125717e-3	2.8141303693829593e-5
<HG00384>	YRI2	2	False	77818002	4.608010704136135e-2	8.251906014578093e-5
<HG00384>	YRI2	3	False	77818002	2.6108019783318514e-2	6.241118565020152e-5
<HG00384>	YRI2	4	False	77818002	1.8177194887312308e-2	5.093344394284502e-5
<HG00384>	YRI2	5	False	77818002	1.3871001578419041e-2	4.7355400889781844e-5
<HG00384>	YRI2	6	False	77818002	1.1004500053122009e-2	3.9349972526563816e-5
<HG00384>	YRI2	7	False	77818002	8.92925879247619e-3	3.4036838757818026e-5
